x linterp linterpInteg
0 1 0
0.01 0.996303 0
0.02 0.992606 0.00998152
0.03 0.98891 0.0199261
0.04 0.985213 0.0298336
0.05 0.981516 0.0397043
0.06 0.977819 0.0495379
0.07 0.974123 0.0593346
0.08 0.970426 0.0690943
0.09 0.966729 0.078817
0.1 0.963032 0.0885028
0.11 0.959336 0.0981516
0.12 0.955639 0.107763
0.13 0.951942 0.117338
0.14 0.948245 0.126876
0.15 0.944549 0.136377
0.16 0.940852 0.145841
0.17 0.937155 0.155268
0.18 0.933458 0.164658
0.19 0.929762 0.174011
0.2 0.926065 0.183327
0.21 0.922368 0.192606
0.22 0.918671 0.201849
0.23 0.914975 0.211054
0.24 0.911278 0.220222
0.25 0.907581 0.229353
0.26 0.903884 0.238448
0.27 0.900188 0.247505
0.28 0.896491 0.256525
0.29 0.892794 0.265509
0.3 0.889097 0.274455
0.31 0.885401 0.283365
0.32 0.881704 0.292237
0.33 0.878007 0.301073
0.34 0.87431 0.309871
0.35 0.870614 0.318633
0.36 0.866917 0.327357
0.37 0.86322 0.336045
0.38 0.859523 0.344696
0.39 0.855827 0.353309
0.4 0.85213 0.361886
0.41 0.848433 0.370426
0.42 0.844736 0.378929
0.43 0.84104 0.387395
0.44 0.837343 0.395824
0.45 0.833646 0.404215
0.46 0.829949 0.41257
0.47 0.826253 0.420888
0.48 0.822556 0.429169
0.49 0.818859 0.437413
0.5 0.815162 0.44562
0.51 0.811466 0.453791
0.52 0.807769 0.461924
0.53 0.804072 0.47002
0.54 0.800375 0.478079
0.55 0.796678 0.486101
0.56 0.792982 0.494087
0.57 0.789285 0.502035
0.58 0.785588 0.509946
0.59 0.781891 0.517821
0.6 0.778195 0.525658
0.61 0.774498 0.533458
0.62 0.770801 0.541222
0.63 0.767104 0.548948
0.64 0.763408 0.556638
0.65 0.759711 0.56429
0.66 0.756014 0.571906
0.67 0.752317 0.579485
0.68 0.748621 0.587026
0.69 0.744924 0.594531
0.7 0.741227 0.601999
0.71 0.73753 0.60943
0.72 0.733834 0.616823
0.73 0.730137 0.62418
0.74 0.72644 0.6315
0.75 0.722743 0.638783
0.76 0.719047 0.646029
0.77 0.71535 0.653238
0.78 0.710483 0.66041
0.79 0.701518 0.667539
0.8 0.692554 0.674599
0.81 0.683589 0.681569
0.82 0.674625 0.68845
0.83 0.66566 0.695241
0.84 0.656696 0.701942
0.85 0.647731 0.708554
0.86 0.638767 0.715076
0.87 0.629803 0.721509
0.88 0.620838 0.727852
0.89 0.611874 0.734105
0.9 0.602909 0.740268
0.91 0.593945 0.746342
0.92 0.58498 0.752327
0.93 0.576016 0.758221
0.94 0.567051 0.764026
0.95 0.558087 0.769742
0.96 0.549123 0.775367
0.97 0.540158 0.780903
0.98 0.531194 0.78635
0.99 0.522229 0.791706
1 0.513265 0.796974
1.01 0.5043 0.802151
1.02 0.495336 0.807239
1.03 0.486371 0.812237
1.04 0.477407 0.817146
1.05 0.468443 0.821965
1.06 0.459478 0.826694
1.07 0.450514 0.831333
1.08 0.441549 0.835883
1.09 0.432585 0.840344
1.1 0.42362 0.844714
1.11 0.414656 0.848995
1.12 0.405691 0.853187
1.13 0.396727 0.857288
1.14 0.387763 0.861301
1.15 0.378798 0.865223
1.16 0.369834 0.869056
1.17 0.360869 0.872799
1.18 0.351905 0.876452
1.19 0.34294 0.880016
1.2 0.333976 0.883491
1.21 0.325011 0.886875
1.22 0.316047 0.89017
1.23 0.307083 0.893375
1.24 0.298118 0.896491
1.25 0.289154 0.899517
1.26 0.280189 0.902453
1.27 0.271225 0.9053
1.28 0.26226 0.908057
1.29 0.253296 0.910725
1.3 0.244331 0.913302
1.31 0.235367 0.915791
1.32 0.226403 0.918189
1.33 0.217438 0.920498
1.34 0.208474 0.922717
1.35 0.199509 0.924847
1.36 0.190545 0.926887
1.37 0.18158 0.928837
1.38 0.172616 0.930697
1.39 0.163652 0.932468
1.4 0.154687 0.93415
1.41 0.145723 0.935741
1.42 0.136758 0.937243
1.43 0.127794 0.938656
1.44 0.118829 0.939979
1.45 0.109865 0.941212
1.46 0.1009 0.942355
1.47 0.091936 0.943409
1.48 0.0829715 0.944373
1.49 0.0740071 0.945248
1.5 0.0650426 0.946033
1.51 0.0560782 0.946728
1.52 0.0471138 0.947334
1.53 0.0381493 0.947849
1.54 0.0291849 0.948276
1.55 0.0202204 0.948612
1.56 0.0112059 0.94886
1.57 0.00212878 0.949017
1.58 -0.00694834 0.949083
1.59 -0.0160255 0.949059
1.6 -0.0251026 0.948944
1.61 -0.0341797 0.948739
1.62 -0.0432568 0.948442
1.63 -0.0523339 0.948055
1.64 -0.0614111 0.947577
1.65 -0.0704882 0.947008
1.66 -0.0795653 0.946349
1.67 -0.0886424 0.945599
1.68 -0.0977196 0.944758
1.69 -0.106797 0.943826
1.7 -0.115874 0.942803
1.71 -0.124951 0.94169
1.72 -0.134028 0.940486
1.73 -0.143105 0.939191
1.74 -0.152182 0.937805
1.75 -0.161259 0.936329
1.76 -0.170337 0.934762
1.77 -0.179414 0.933104
1.78 -0.188491 0.931355
1.79 -0.197568 0.929515
1.8 -0.206645 0.927585
1.81 -0.215722 0.925564
1.82 -0.224799 0.923452
1.83 -0.233876 0.921249
1.84 -0.242953 0.918956
1.85 -0.252031 0.916572
1.86 -0.261108 0.914097
1.87 -0.270185 0.911531
1.88 -0.279262 0.908875
1.89 -0.288339 0.906128
1.9 -0.297416 0.90329
1.91 -0.306493 0.900361
1.92 -0.31557 0.897341
1.93 -0.324648 0.894231
1.94 -0.333725 0.89103
1.95 -0.342802 0.887738
1.96 -0.351879 0.884355
1.97 -0.360956 0.880882
1.98 -0.370033 0.877318
1.99 -0.37911 0.873663
2 -0.388187 0.869917
2.01 -0.397265 0.866081
2.02 -0.406342 0.862153
2.03 -0.415419 0.858135
2.04 -0.424496 0.854027
2.05 -0.433573 0.849827
2.06 -0.44265 0.845537
2.07 -0.451727 0.841156
2.08 -0.460804 0.836684
2.09 -0.469882 0.832121
2.1 -0.478959 0.827468
2.11 -0.488036 0.822723
2.12 -0.497113 0.817888
2.13 -0.50619 0.812963
2.14 -0.515267 0.807946
2.15 -0.524344 0.802839
2.16 -0.533421 0.797641
2.17 -0.542498 0.792352
2.18 -0.551576 0.786972
2.19 -0.560653 0.781502
2.2 -0.56973 0.775941
2.21 -0.578807 0.770289
2.22 -0.587884 0.764546
2.23 -0.596961 0.758713
2.24 -0.606038 0.752789
2.25 -0.615115 0.746774
